DATE,RELATED_EVENT,STATE,NUM_EVENTS,NUM_COUNTIES,PERCENT_COUNTIES,id
1-Jan-12,Drought,Minnesota,194,87,2.229885057,27000
1-Jan-13,Drought,Minnesota,117,87,1.344827586,27000
1-Jan-15,Drought,Minnesota,54,87,0.620689655,27000
1-Jan-06,Drought,Mississippi,47,82,0.573170732,28000
1-Jan-07,Drought,Mississippi,315,82,3.841463415,28000
1-Jan-10,Drought,Mississippi,90,82,1.097560976,28000
1-Jan-11,Drought,Mississippi,14,82,0.170731707,28000
1-Jan-12,Drought,Mississippi,44,82,0.536585366,28000
1-Jan-13,Drought,Mississippi,6,82,0.073170732,28000
1-Jan-15,Drought,Mississippi,68,82,0.829268293,28000
1-Jan-96,Drought,Missouri,10,115,0.086956522,29000
1-Jan-98,Drought,Missouri,9,115,0.07826087,29000
1-Jan-99,Drought,Missouri,89,115,0.773913043,29000
1-Jan-00,Drought,Missouri,105,115,0.913043478,29000
1-Jan-02,Drought,Missouri,22,115,0.191304348,29000
1-Jan-04,Drought,Missouri,11,115,0.095652174,29000
1-Jan-05,Drought,Missouri,94,115,0.817391304,29000
1-Jan-06,Drought,Missouri,89,115,0.773913043,29000
1-Jan-07,Drought,Missouri,35,115,0.304347826,29000
1-Jan-10,Drought,Missouri,63,115,0.547826087,29000
1-Jan-11,Drought,Missouri,72,115,0.626086957,29000
1-Jan-12,Drought,Missouri,603,115,5.243478261,29000
1-Jan-13,Drought,Missouri,148,115,1.286956522,29000
1-Jan-04,Drought,Montana,3,56,0.053571429,30000
1-Jan-05,Drought,Montana,16,56,0.285714286,30000
1-Jan-06,Drought,Montana,32,56,0.571428571,30000
1-Jan-08,Drought,Montana,27,56,0.482142857,30000
1-Jan-09,Drought,Montana,1,56,0.017857143,30000
1-Jan-99,Drought,Nebraska,35,93,0.376344086,31000
1-Jan-00,Drought,Nebraska,42,93,0.451612903,31000
1-Jan-02,Drought,Nebraska,33,93,0.35483871,31000
1-Jan-12,Drought,Nebraska,545,93,5.860215054,31000
1-Jan-13,Drought,Nebraska,724,93,7.784946237,31000
1-Jan-14,Drought,Nebraska,174,93,1.870967742,31000
1-Jan-99,Drought,New Hampshire,48,10,4.8,33000
1-Jan-01,Drought,New Hampshire,60,10,6,33000
1-Jan-97,Drought,New Jersey,33,21,1.571428571,34000
1-Jan-98,Drought,New Jersey,145,21,6.904761905,34000
1-Jan-99,Drought,New Jersey,160,21,7.619047619,34000
1-Jan-00,Drought,New Jersey,20,21,0.952380952,34000
1-Jan-01,Drought,New Jersey,118,21,5.619047619,34000
1-Jan-02,Drought,New Jersey,272,21,12.95238095,34000
1-Jan-05,Drought,New Jersey,21,21,1,34000
1-Jan-08,Drought,New Jersey,30,21,1.428571429,34000
1-Jan-10,Drought,New Jersey,47,21,2.238095238,34000
1-Jan-15,Drought,New Jersey,39,21,1.857142857,34000
1-Jan-96,Drought,New Mexico,67,33,2.03030303,35000
1-Jan-98,Drought,New Mexico,49,33,1.484848485,35000
1-Jan-99,Drought,New Mexico,56,33,1.696969697,35000
1-Jan-00,Drought,New Mexico,153,33,4.636363636,35000
1-Jan-02,Drought,New Mexico,176,33,5.333333333,35000
